DATE,OPEN,HIGH,LOW,CLOSE
03-09-2018,16.41,16.75,13.31,14.64
03-12-2018,15.28,16.35,15.18,15.78
03/13/2018,15.7,16.98,15.03,16.35
03/14/2018,16.59,17.59,14.94,17.23
03/15/2018,16.99,17.41,15.96,16.59
03/16/2018,16.6,16.72,15.23,15.8
03/19/2018,16.63,21.87,16.56,19.02
03/20/2018,18.38,19.31,18.09,18.2
03/21/2018,17.76,18.37,16.26,17.86
03/22/2018,18.13,23.81,18.12,23.34
03/23/2018,24.02,26.01,21.63,24.87
03/26/2018,23.41,24.54,20.71,21.03
03/27/2018,20.33,24.06,19.84,22.5
03/28/2018,22.52,24.94,21.71,22.87
03/29/2018,22.87,23.05,19.6,19.97
04-02-2018,21.07,25.72,20.44,23.62
04-03-2018,23.03,23.38,20.92,21.1
04-04-2018,21.68,24.51,19.86,20.06
04-05-2018,19.76,20.21,18.57,18.94
04-06-2018,20.33,23.12,18.6,21.49
04-09-2018,21.27,22.02,20.34,21.77
04-10-2018,20.51,21.68,20.24,20.47
04-11-2018,20.95,21.66,19.64,20.24
04-12-2018,19.83,19.92,18.16,18.49
04/13/2018,18.27,18.45,17.26,17.41
04/16/2018,17.59,17.66,16.38,16.56
04/17/2018,16.16,16.27,14.57,15.25
04/18/2018,15.3,16.9,14.95,15.6
04/19/2018,15.55,16.92,15.16,15.96
04/20/2018,16.16,17.5,15.19,16.88
04/23/2018,17.29,17.56,15.79,16.34
04/24/2018,16.16,19.66,15.37,18.02
04/25/2018,18.14,19.84,17.75,17.84
04/26/2018,18.07,18.12,16.24,16.24
04/27/2018,16.22,16.77,15.25,15.41
04/30/2018,15.39,16.35,15.13,15.93
05-01-2018,15.78,16.82,15.42,15.49
05-02-2018,15.48,15.97,14.75,15.97
05-03-2018,15.78,18.66,15.43,15.9
05-04-2018,15.94,16.92,10.91,14.77
05-07-2018,15.32,15.52,14.51,14.75
05-08-2018,14.53,15.56,14.52,14.71
05-09-2018,14.54,14.63,13.38,13.42
05-10-2018,13.36,13.63,12.92,13.23
05-11-2018,13.22,13.44,12.65,12.65
05/14/2018,12.95,13.28,12.81,12.93
05/15/2018,13.13,15.01,12.5,14.63
05/16/2018,14.38,14.91,13.21,13.42
05/17/2018,13.54,13.86,12.65,13.43
05/18/2018,13.18,13.87,13.06,13.42
05/21/2018,13.44,13.59,12.78,13.08
05/22/2018,13.03,13.42,12.77,13.22
05/23/2018,13.5,14.6,12.49,12.58
05/24/2018,12.73,14.24,12.53,12.53
05/25/2018,12.44,13.52,12.29,13.22
05/29/2018,14.39,18.78,14.39,17.02
05/30/2018,16.6,16.64,14.65,14.94
05/31/2018,14.93,16.29,14.2,15.43
06-01-2018,14.92,14.93,13.37,13.46
06-04-2018,13.91,13.91,12.69,12.74
06-05-2018,12.91,13.34,12.3,12.4
06-06-2018,12.1,12.56,11.62,11.64
06-07-2018,11.66,13.28,11.22,12.13
06-08-2018,12.54,13.31,12.09,12.18
06-11-2018,12.52,12.69,12.14,12.35
06-12-2018,12.29,12.6,11.88,12.34
06/13/2018,12.13,12.95,11.98,12.94
06/14/2018,12.98,13.07,11.88,12.12
06/15/2018,12.19,13.16,11.93,11.98
06/18/2018,12.79,13.74,12.28,12.31
06/19/2018,14.61,14.68,13.21,13.35
06/20/2018,12.9,13.02,12.25,12.79
06/21/2018,12.54,15.18,12.18,14.64
06/22/2018,14.6,14.6,13.11,13.77
06/25/2018,15.07,19.61,14.56,17.33
06/26/2018,16.71,17.54,15.1,15.92
06/27/2018,16.52,18.19,14.76,17.91
06/28/2018,17.54,18.99,16.4,16.85
06/29/2018,15.73,16.51,14.66,16.09
07-02-2018,17.7,18.08,15.54,15.6
07-03-2018,15.37,16.45,14.68,16.14
07-05-2018,15.62,16.22,14.47,14.97
07-06-2018,14.99,15.45,13.34,13.37
07-09-2018,13.42,13.45,12.6,12.69
07-10-2018,12.52,13.21,11.93,12.64
07-11-2018,14.05,14.15,13.09,13.63
07-12-2018,13.07,13.33,12.42,12.58
07/13/2018,12.39,12.97,11.62,12.18
07/16/2018,12.46,12.97,12.13,12.83
07/17/2018,12.91,13.18,11.85,12.06
07/18/2018,11.87,12.47,11.44,12.1
07/19/2018,12.2,13.09,11.79,12.87
07/20/2018,13,13.58,12.49,12.86
07/23/2018,13.47,13.55,12.58,12.62
07/24/2018,12.61,13.21,11.66,12.41
07/25/2018,12.37,12.82,11.8,12.29
07/26/2018,12.45,12.53,11.78,12.14
07/27/2018,12.17,14.26,11.6,13.03
07/30/2018,13.63,14.46,12.98,14.26
07/31/2018,13.98,14.12,12.81,12.83
08-01-2018,13.09,13.63,12.45,13.15
08-02-2018,13.57,14.53,12.17,12.19
08-03-2018,12.43,12.46,11.07,11.64
08-06-2018,11.91,12.15,11.17,11.27
08-07-2018,11.12,11.24,10.52,10.93
08-08-2018,10.93,11.18,10.52,10.85
08-09-2018,10.94,11.31,10.17,11.27
08-10-2018,11.82,13.82,11.59,13.16
08/13/2018,14.5,15.02,12.95,14.78
08/14/2018,13.93,14.22,13.11,13.31
08/15/2018,13.52,16.86,13.44,14.64
08/16/2018,14.18,14.36,12.82,13.45
08/17/2018,13.18,13.96,12.4,12.64
08/20/2018,12.57,12.79,12.26,12.49
08/21/2018,12.47,12.89,12.09,12.86
08/22/2018,13.09,13.29,11.97,12.25
08/23/2018,12.03,12.68,11.65,12.41
08/24/2018,12.13,12.17,11.83,11.99
08/27/2018,12.37,12.48,12.02,12.16
08/28/2018,12.01,12.5,11.87,12.5
08/29/2018,12.34,12.55,12.09,12.25
08/30/2018,12.25,13.95,12.24,13.53
08/31/2018,13.54,14.03,12.82,12.86
09-04-2018,13.13,14.35,13.12,13.16
09-05-2018,13.69,14.3,13.23,13.91
09-06-2018,14.21,15.41,13.72,14.65
09-07-2018,14.72,15.63,14.31,14.88
09-10-2018,15.09,15.2,13.93,14.16
09-11-2018,13.96,14.92,13.21,13.22
09-12-2018,13.07,13.86,12.91,13.14
09/13/2018,12.91,12.91,12.3,12.37
09/14/2018,12.13,13.15,11.93,12.07
09/17/2018,12.72,13.75,12.32,13.68
09/18/2018,13.48,13.48,12.56,12.79
09/19/2018,12.61,12.77,11.66,11.75
09/20/2018,11.82,11.96,11.31,11.8
09/21/2018,11.76,12.03,11.1,11.68
09/24/2018,12.46,12.92,12.18,12.2
09/25/2018,12.28,12.6,11.8,12.42
09/26/2018,12.21,13.13,11.55,12.89
09/27/2018,12.77,13,11.94,12.41
09/28/2018,12.59,13.22,12.09,12.12
10-01-2018,11.99,12.4,11.57,12
10-02-2018,12.47,12.69,11.61,12.05
10-03-2018,11.66,12.14,11.34,11.61
10-04-2018,12.84,15.84,12.42,14.22
10-05-2018,14.29,17.36,11.72,14.82
10-08-2018,16.05,18.38,15.69,15.69
10-09-2018,16.12,17.49,15.27,15.95
10-10-2018,16.03,22.96,15.83,22.96
10-11-2018,23.07,28.84,20.65,24.98
10-12-2018,21.63,26.8,20.88,21.31
10/15/2018,21.97,22.89,19.47,21.3
10/16/2018,20.28,20.56,17.55,17.62
10/17/2018,17.06,19.55,17.06,17.4
10/18/2018,18.02,21.57,17.51,20.06
10/19/2018,19.24,21.08,18.39,19.89
10/22/2018,19.38,20.89,18.82,19.64
10/23/2018,22.18,24.66,20.18,20.71
10/24/2018,21.6,26.38,20.4,25.23
10/25/2018,24.78,24.78,22.06,24.22
10/26/2018,24.51,27.52,23.33,24.16
10/29/2018,24.48,27.86,22.01,24.7
10/30/2018,23.94,25.55,23.11,23.35
10/31/2018,22.72,22.8,20.39,21.23
11-01-2018,20.96,21.21,19.03,19.34
11-02-2018,18.52,21.61,18.05,19.51
11-05-2018,20.58,20.87,19.64,19.96
11-06-2018,19.84,20.6,19.69,19.91
11-07-2018,18.03,18.05,16.33,16.36
11-08-2018,16.18,17.2,16.09,16.72
11-09-2018,16.87,18.41,16.84,17.36
11-12-2018,17.26,20.71,17.25,20.45
11/13/2018,19.45,21.25,19.11,20.02
11/14/2018,20.52,22.36,19.3,21.25
11/15/2018,20.41,22.97,19.94,19.98
11/16/2018,20.04,21.36,18.1,18.14
11/19/2018,18.78,20.99,18.52,20.1
11/20/2018,20.76,23.81,20.37,22.48
11/21/2018,21.66,22.31,20.11,20.8
11/23/2018,21.23,22.65,20.65,21.52
11/26/2018,20.78,20.8,18.67,18.9
11/27/2018,19.57,19.78,18.7,19.02
11/28/2018,18.73,19.38,18.18,18.49
11/29/2018,19.22,20.48,18.62,18.79
11/30/2018,19.38,19.38,18.03,18.07
12-03-2018,16.04,17.28,15.94,16.44
12-04-2018,16.65,21.94,16.26,20.74
12-06-2018,24.66,25.94,20.94,21.19
12-07-2018,21.15,24.71,19.9,23.23
12-10-2018,23.62,25.94,22.5,22.64
12-11-2018,21.61,23.6,21.39,21.76
12-12-2018,21,21.62,20.5,21.46
12/13/2018,20.84,21.38,20.34,20.65
12/14/2018,21.47,22.47,20.95,21.63
12/17/2018,23.22,25.88,22.43,24.52
12/18/2018,24.28,26.14,23.69,25.58
12/19/2018,25.97,26.64,22.5,25.58
12/20/2018,26.03,30.3,25.35,28.38
12/21/2018,28.66,31.35,25.71,30.11
12/24/2018,31.21,36.1,31.02,36.07
12/26/2018,34.45,36.2,29.59,30.41
12/27/2018,32.24,33.8,29.66,29.96
12/28/2018,29.64,31.05,27.43,28.34
12/31/2018,27.19,27.29,25.33,25.42
01-02-2019,27.67,27.72,23.05,23.22
01-03-2019,24.67,26.57,24.05,25.45
01-04-2019,23.72,24.08,21.19,21.38
01-07-2019,22.11,22.27,20.91,21.4
01-08-2019,20.66,22.03,20.09,20.47
01-09-2019,20.13,22.8,19.48,19.98
01-10-2019,20.8,21.32,19.29,19.5
01-11-2019,20.02,20.16,18.12,18.19
01/14/2019,19.96,19.99,18.7,19.07
01/15/2019,19.03,19.05,17.98,18.6
01/16/2019,18.84,19.04,18.19,19.04
01/17/2019,19.29,19.36,17.85,18.06
01/18/2019,17.4,18.18,17.17,17.8
01/22/2019,18.65,21.15,18.43,20.8
01/23/2019,19.94,22.02,19.47,19.52
01/24/2019,19.98,20.25,18.63,18.89
01/25/2019,18,18.16,17.31,17.42
01/28/2019,19.38,20.42,18.87,18.87
01/29/2019,18.81,19.93,18.71,19.13
01/30/2019,18.9,19.31,17.54,17.66
01/31/2019,17.54,17.72,16.54,16.57
02-01-2019,16.37,16.73,16.08,16.14
02-04-2019,16.64,16.69,15.6,15.73
02-05-2019,15.77,15.94,15.04,15.57
02-06-2019,15.44,15.87,15.09,15.38
02-07-2019,15.66,17.89,15.51,16.37
02-08-2019,16.81,17.63,15.62,15.72
02-11-2019,16.17,16.5,15.34,15.97
02-12-2019,15.23,15.65,14.95,15.43
02/13/2019,15.46,15.91,15,15.65
02/14/2019,15.61,17.27,15.3,16.22
02/15/2019,16.82,16.82,14.79,14.91
02/19/2019,15.65,16.16,14.64,14.88
02/20/2019,14.92,15.19,13.99,14.02
02/21/2019,14,15.17,13.85,14.46
02/22/2019,14.46,14.47,13.51,13.51
02/25/2019,13.91,14.9,13.44,14.85
02/26/2019,15.16,15.28,14.52,15.17
02/27/2019,15.53,16.17,14.7,14.7
02/28/2019,15.17,15.24,14.39,14.7
03-01-2019,14.57,14.84,13.41,13.57
03-04-2019,14.57,16.98,13.38,14.63
03-05-2019,14.52,15.39,14.26,14.74
03-06-2019,14.91,16.11,14.74,15.74
03-07-2019,16.33,17.81,15.54,16.59
03-08-2019,17.38,18.33,16.02,16.05
03-11-2019,16.28,16.43,14.33,14.33
03-12-2019,13.97,14.7,13.61,13.77
03/13/2019,14,14.05,13.25,13.41
03/14/2019,13.35,13.84,13.16,13.5
03/15/2019,13.21,13.28,12.5,12.88
03/18/2019,13.13,13.8,13,13.1
03/19/2019,12.89,13.77,12.37,13.56
03/20/2019,13.54,14.3,13.05,13.91
03/21/2019,14.11,14.56,13.26,13.63
03/22/2019,13.77,17.52,13.62,16.48
03/25/2019,17.76,17.85,16.26,16.33
03/26/2019,16.22,16.3,14.67,14.68
03/27/2019,14.52,16.71,14.51,15.15
03/28/2019,15.38,15.62,14.41,14.43
03/29/2019,14.19,14.43,13.64,13.71
04-01-2019,13.9,14.01,13.32,13.4
04-02-2019,13.62,13.68,13.13,13.36
04-03-2019,13.06,14.27,12.85,13.74
04-04-2019,13.84,14.03,13.4,13.58
04-05-2019,13.46,13.47,12.17,12.82
04-08-2019,13.55,13.77,13.1,13.18
04-09-2019,13.46,14.39,13.31,14.28
04-10-2019,14.09,14.29,13.27,13.3
04-11-2019,13.37,13.58,12.91,13.02
04-12-2019,12.96,12.96,11.95,12.01
04/15/2019,12.46,13.14,12.24,12.32
04/16/2019,12.26,12.47,11.85,12.18
04/17/2019,12.12,13.02,11.03,12.6
04/18/2019,12.8,13.12,12.02,12.09
04/22/2019,13.21,13.36,12.38,12.42
04/23/2019,12.66,12.69,12.08,12.28
04/24/2019,12.53,13.23,12.26,13.14
04/25/2019,13.29,14.3,12.81,13.25
04/26/2019,13.44,13.62,12.49,12.73
04/29/2019,13.04,13.27,12.65,13.11
04/30/2019,13.11,14.05,12.88,13.12
05-01-2019,12.86,14.83,12.74,14.8
05-02-2019,14.35,15.92,13.8,14.42
05-03-2019,14.11,14.15,12.8,12.87
05-06-2019,12.89,18.8,12.89,15.44
05-07-2019,15.9,21.84,15.8,19.32
05-08-2019,18.95,21.74,18.29,19.4
05-09-2019,21.4,23.38,18.87,19.1
05-10-2019,18.79,20.19,15.57,16.04
05/13/2019,18.62,21.32,18.35,20.55
05/14/2019,19.4,19.65,17.45,18.06
05/15/2019,17.57,19.15,16.41,16.44
05/16/2019,16.69,17.13,15.16,15.29
05/17/2019,15.89,16.81,14.86,15.96
05/20/2019,15.88,17.63,15.46,16.31
05/21/2019,15.86,16.22,14.79,14.95
05/22/2019,15.06,15.44,14.42,14.75
05/23/2019,15.93,18.05,15.28,16.92
05/24/2019,16.34,16.52,15.52,15.85
05/28/2019,16.55,17.7,15.9,17.5
05/29/2019,18.55,19.04,17.62,17.9
05/30/2019,17.47,18.11,16.72,17.3
05/31/2019,19.05,19.72,18.01,18.71
06-03-2019,19.41,19.75,18.16,18.86
06-04-2019,18.74,18.74,16.97,16.97
06-05-2019,17.06,17.49,16.04,16.09
06-06-2019,16.25,16.54,15.36,15.93
06-07-2019,15.65,16.44,15.33,16.3
06-10-2019,16.3,16.47,15.84,15.94
06-11-2019,15.84,16.7,15.5,15.99
06-12-2019,16.26,16.43,15.78,15.91
06/13/2019,16.16,16.21,15.61,15.82
06/14/2019,16,16.4,15.21,15.28
06/17/2019,15.65,15.76,15.24,15.35
06/18/2019,14.89,15.54,14.62,15.15
06/19/2019,15.05,15.71,14.15,14.33
06/20/2019,14.04,16.03,13.19,14.75
06/21/2019,14.74,15.48,14.42,15.4
06/24/2019,15.46,15.56,15.23,15.26
06/25/2019,15.43,16.68,15.1,16.28
06/26/2019,16.1,16.6,15.47,16.21
06/27/2019,15.66,16.4,15.66,15.82
06/28/2019,15.7,16.13,15.08,15.08
07-01-2019,13.85,14.64,13.8,14.06
07-02-2019,14.16,14.3,12.9,12.93
07-03-2019,13.18,13.19,12.56,12.57
07-05-2019,13,14.47,12.04,13.28
07-08-2019,13.73,14.44,13.64,13.96
07-09-2019,14.47,14.71,13.99,14.09
07-10-2019,14.38,14.69,12.98,13.03
07-11-2019,13.01,13.33,12.39,12.93
07-12-2019,12.76,12.82,12.28,12.39
07/15/2019,12.58,13.02,12.49,12.68
07/16/2019,12.61,13.14,12.28,12.86
07/17/2019,12.62,13.97,12.24,13.97
07/18/2019,14.45,14.5,13.19,13.53
07/19/2019,13.31,14.45,13.09,14.45
07/22/2019,14.55,14.7,13.42,13.53
07/23/2019,13.42,13.52,12.55,12.61
07/24/2019,12.8,13.1,11.98,12.07
07/25/2019,12.24,13.54,11.69,12.74
07/26/2019,12.58,12.72,12.01,12.16
07/29/2019,12.15,13.17,12.15,12.83
07/30/2019,12.87,14.18,12.87,13.94
07/31/2019,13.83,16.55,13.46,16.12
08-01-2019,15.41,19.46,13.73,17.87
08-02-2019,17.69,20.11,17.04,17.61
08-05-2019,19.96,24.81,19.91,24.59
08-06-2019,22.29,22.87,19.77,20.17
08-07-2019,20.7,23.67,18.94,19.49
08-08-2019,19.36,19.89,16.82,16.91
08-09-2019,18.14,19.44,17.31,17.97
08-12-2019,17.87,21.26,17.77,21.09
08/13/2019,21.28,21.64,17.52,17.52
08/14/2019,17.81,22.71,17.75,22.1
08/15/2019,21.58,24.1,20.78,21.18
08/16/2019,20.48,20.5,18.41,18.47
08/19/2019,17.93,18.22,16.52,16.88
08/20/2019,16.78,17.7,16.45,17.5
08/21/2019,17.01,17.04,15.51,15.8
08/22/2019,16.12,17.68,15.63,16.68
08/23/2019,16.15,21.07,16.04,19.87
08/26/2019,20.34,21.33,19.06,19.32
08/27/2019,20.18,21.04,18.49,20.31
08/28/2019,20.55,21.64,19.1,19.35
08/29/2019,19.02,19.2,17.6,17.88
08/30/2019,17.94,19.18,17.09,18.98
09-03-2019,20.96,21.15,19.41,19.66
09-04-2019,18.23,18.83,17.26,17.33
09-05-2019,16.92,17.05,15.45,16.27
09-06-2019,15.92,16.06,14.91,15
09-09-2019,15.26,16.13,14.95,15.27
09-10-2019,15.53,16.52,15.11,15.2
09-11-2019,15.33,15.52,14.55,14.61
09-12-2019,14.69,14.94,13.85,14.22
09/13/2019,14.16,14.31,13.51,13.74
09/16/2019,14.89,15.29,14.5,14.67
09/17/2019,14.92,15.03,14.4,14.44
09/18/2019,14.61,15.8,13.8,13.95
09/19/2019,14.66,14.66,13.31,14.05
09/20/2019,13.94,15.84,13.35,15.32
09/23/2019,15.35,16,14.71,14.91
09/24/2019,14.77,17.62,14.33,17.05
09/25/2019,17.05,18.45,15.69,15.96
09/26/2019,16.23,17.09,15.35,16.07
09/27/2019,15.77,18.69,15.15,17.22
09/30/2019,17.23,17.35,16.2,16.24
10-01-2019,16.02,18.62,15.79,18.56
10-02-2019,18.75,21.46,18.75,20.56
10-03-2019,20.11,21.44,19.03,19.12
10-04-2019,19.42,19.97,16.97,17.04
10-07-2019,18.27,18.52,16.44,17.86
10-08-2019,17.61,20.38,17.42,20.28
10-09-2019,19.94,20,17.77,18.64
10-10-2019,19.28,19.8,17.56,17.57
10-11-2019,17.35,17.44,15.11,15.58
10/14/2019,15.66,16.5,14.51,14.57
10/15/2019,13.94,14.43,13.39,13.54
10/16/2019,13.94,14.26,13.6,13.68
10/17/2019,13.79,14.18,13.31,13.79
10/18/2019,14.2,15.16,13.78,14.25
10/21/2019,14.24,14.63,14,14
10/22/2019,13.99,14.61,13.7,14.46
10/23/2019,14.83,15.12,14.01,14.01
10/24/2019,13.98,14.34,13.4,13.71
10/25/2019,13.53,13.79,12.62,12.65
10/28/2019,13.01,13.14,12.66,13.11
10/29/2019,13.16,13.52,13.07,13.2
10/30/2019,13.23,13.77,12.27,12.33
10/31/2019,12.21,13.95,12.19,13.22
11-01-2019,12.99,13.12,12.25,12.3
11-04-2019,12.68,13.13,12.44,12.83
11-05-2019,12.85,13.28,12.25,13.1
11-06-2019,13.18,13.39,12.6,12.62
11-07-2019,12.59,12.89,12.26,12.73
11-08-2019,12.98,13.05,12,12.07
11-11-2019,13.15,13.49,12.66,12.69
11-12-2019,12.64,13.1,12.36,12.68
11/13/2019,12.91,13.9,12.88,13
11/14/2019,13.16,13.81,12.93,13.05
11/15/2019,12.95,12.97,11.92,12.05
11/18/2019,12.39,13.1,12.32,12.46
11/19/2019,12.33,13.01,12.16,12.86
11/20/2019,13.42,14.17,12.61,12.78
11/21/2019,13.35,13.86,12.49,13.13
11/22/2019,12.82,13.25,12.33,12.34
11/25/2019,12.51,12.59,11.73,11.87
11/26/2019,11.88,12.04,11.42,11.54
11/27/2019,11.55,11.79,11.44,11.75
11/29/2019,12.5,12.83,12.12,12.62
12-02-2019,12.69,15.27,12.55,14.91
12-03-2019,14.68,17.99,14.61,15.96
12-04-2019,16.38,16.4,14.12,14.8
12-05-2019,14.46,15.37,14.17,14.52
12-06-2019,14.37,14.47,13.19,13.62
12-09-2019,14.25,16.07,12.25,15.86
12-10-2019,15.8,16.9,14.93,15.68
12-11-2019,15.57,15.97,14.98,14.99
12-12-2019,14.94,15.55,13.6,13.94
12/13/2019,13.18,14.35,12.54,12.63
12/16/2019,12.47,12.53,11.71,12.14
12/17/2019,12.23,12.47,11.9,12.29
12/18/2019,12.24,12.7,11.93,12.58
12/19/2019,12.55,12.78,12.43,12.5
12/20/2019,12.55,12.61,12.04,12.51
12/23/2019,12.81,12.9,12.41,12.61
12/24/2019,12.65,12.84,12.56,12.67
12/26/2019,12.74,12.75,11.72,12.65
12/27/2019,12.61,13.72,11.89,13.43
12/30/2019,13.74,15.14,13.44,14.82
12/31/2019,14.84,15.39,13.75,13.78
01-02-2020,13.46,13.72,12.42,12.47
01-03-2020,15.01,16.2,13.13,14.02
01-06-2020,15.45,16.39,13.54,13.85
01-07-2020,13.84,14.46,13.39,13.79
01-08-2020,15.16,15.24,12.83,13.45
01-09-2020,12.95,13.24,12.53,12.54
01-10-2020,12.42,12.87,12.09,12.56
01/13/2020,12.84,13.09,12.32,12.32
01/14/2020,12.72,13.82,12.05,12.39
01/15/2020,12.79,12.83,11.95,12.42
01/16/2020,12.2,12.42,11.78,12.32
01/17/2020,12.21,12.48,11.75,12.1
01/21/2020,13.23,13.33,12.32,12.85
01/22/2020,12.45,13.01,12.31,12.91
01/23/2020,13.26,14.15,12.94,12.98
01/24/2020,12.75,15.98,12.62,14.56
01/27/2020,17.42,19.02,16.82,18.23
01/28/2020,16.94,18.03,15.69,16.28
01/29/2020,15.68,16.65,14.94,16.39
01/30/2020,17.82,18.39,15.3,15.49
01/31/2020,16.25,19.99,16.18,18.84
02-03-2020,18.64,18.88,17.1,17.97
02-04-2020,16.45,16.46,15.63,16.05
02-05-2020,16.29,16.32,15.02,15.15
02-06-2020,15.13,15.66,14.7,14.96
02-07-2020,15.07,16.16,14.81,15.47
02-10-2020,15.88,16.43,15.01,15.04
02-11-2020,14.91,15.27,14.38,15.18
02-12-2020,14.86,14.88,13.73,13.74
02/13/2020,14.43,15.44,14,14.15
02/14/2020,14.12,14.54,13.38,13.68
02/18/2020,14.98,15.49,14.53,14.83
02/19/2020,14.66,14.74,14.21,14.38
02/20/2020,14.54,17.21,14.49,15.56
02/21/2020,17.33,18.21,16.19,17.08
02/24/2020,22.25,26.35,22,25.03
02/25/2020,22.19,30.25,22.19,27.85
02/26/2020,26.63,29.57,24.76,27.56
02/27/2020,28.95,39.31,27.79,39.16
02/28/2020,42.02,49.48,39.37,40.11
03-02-2020,34.86,43.77,31.5,33.42
03-03-2020,33.64,41.06,24.93,36.82
03-04-2020,34.44,35.58,30.3,31.99
03-05-2020,33.61,42.84,33.54,39.62
03-06-2020,41.46,54.39,40.84,41.94
03-09-2020,41.94,62.12,41.94,54.46
03-10-2020,49.68,55.66,43.56,47.3
03-11-2020,52.24,55.82,49.98,53.9
03-12-2020,61.46,76.83,59.91,75.47
03/13/2020,71.31,77.57,55.17,57.83
03/16/2020,57.83,83.56,57.83,82.69
03/17/2020,82.69,84.83,70.37,75.91
03/18/2020,69.37,85.47,69.37,76.45
03/19/2020,80.62,84.26,68.57,72
03/20/2020,67.86,69.51,57.42,66.04
03/23/2020,74.08,76.74,60.46,61.59
03/24/2020,58.76,61.88,36.24,61.67
03/25/2020,61.44,68.86,58.03,63.95
03/26/2020,65.67,67.06,57.66,61
03/27/2020,64.95,69.1,61.8,65.54
03/30/2020,66.3,67.69,56.6,57.08
03/31/2020,56.69,58.75,50.88,53.54
04-01-2020,57.38,60.59,52.76,57.06
04-02-2020,54.46,57.24,50.45,50.91
04-03-2020,51.11,52.29,46.74,46.8
04-06-2020,44.17,45.73,43.45,45.24
04-07-2020,44.83,47.51,43.51,46.7
04-08-2020,45.9,47.28,42.53,43.35
04-09-2020,43,45.73,41.39,41.67
04/13/2020,44.6,45.04,41.17,41.17
04/14/2020,40.24,40.57,37.31,37.76
04/15/2020,39.4,43.23,39.34,40.84
04/16/2020,41.92,43.02,39.87,40.11
04/17/2020,39.5,40.26,37.63,38.15
04/20/2020,40.68,43.83,39.88,43.83
04/21/2020,44.28,47.77,43.77,45.41
04/22/2020,44.91,45.07,41.41,41.98
04/23/2020,41.3,42.47,39.06,41.38
04/24/2020,41.91,42.08,35.6,35.93
04/27/2020,36.29,36.44,32.51,33.29
04/28/2020,33.21,35.39,30.54,33.57
04/29/2020,32.48,33.19,30.71,31.23
04/30/2020,30.99,35.94,30.93,34.15
05-01-2020,38.17,39.57,36.59,37.19
05-04-2020,39.13,40.32,35.53,35.97
05-05-2020,34.82,36.22,31.95,33.61
05-06-2020,32.69,35.69,31.68,34.12
05-07-2020,32.12,32.28,30.37,31.44
05-08-2020,30.14,30.39,27.89,27.98
05-11-2020,28.46,31.46,26.97,27.57
05-12-2020,28.47,33.04,26,33.04
05/13/2020,32.74,37.42,30.77,35.28
05/14/2020,35.16,39.28,32.33,32.61
05/15/2020,32.5,35.13,31.04,31.89
05/18/2020,30.71,31.08,28.35,29.3
05/19/2020,28.73,30.74,28.37,30.53
05/20/2020,29.52,29.83,27.83,27.99
05/21/2020,28.97,30.2,27.67,29.53
05/22/2020,31.36,31.55,28.03,28.16
05/26/2020,27.72,28.58,27.18,28.01
05/27/2020,27.62,30.53,25.92,27.62
05/28/2020,27.82,29.89,27.43,28.59
05/29/2020,29.3,30.16,27.29,27.51
06-01-2020,28.94,30.6,28.11,28.23
06-02-2020,28.4,28.52,26.66,26.84
