"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.70872,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-04",99.95132,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-05",99.89301,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-06",99.6846,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-07",99.21977,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-08",98.65459,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-09",98.35787,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-10",98.17253,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-11",98.01131,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-12",97.91058,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-01",97.67711,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-02",97.37165,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-03",97.13569,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-04",96.9705,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-05",96.56645,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-06",96.16199,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-07",96.13423,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-08",96.3986,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-09",96.61599,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-10",96.72991,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-11",96.79697,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-12",97.01642,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-01",97.30431,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-02",97.42091,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-03",97.30487,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-04",97.20781,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-05",97.21225,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-06",97.50813,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-07",97.87399,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-08",98.00307,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-09",97.99882,
